,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,"13,222,237","12,648,481","14,089,063","15,062,281","16,476,173","16,135,808","17,694,375","19,786,031","20,356,791","19,516,810","20,134,978","19,024,712","19,981,160","20,168,366","21,465,583","23,083,099","20,999,064","17,015,148","16,396,875","16,521,623","15,008,870","14,596,098"
2,"12,097,968","11,971,217","12,389,177","12,766,622","13,398,416","14,488,149","16,657,834","16,667,519","16,455,025","18,396,865","17,827,259","16,817,973","17,655,058","17,809,933","19,168,753","20,466,649","17,563,736","14,780,833","12,720,042","13,635,610","13,429,302","11,970,123"
3,"11,536,474","12,516,914","12,754,514","13,075,849","14,625,430","14,167,708","17,836,161","18,510,659","17,615,108","17,977,931","18,467,341","17,732,592","19,147,935","18,359,434","19,181,112","19,372,394","16,056,495","12,444,011","11,509,612","11,683,698","10,280,196","10,177,364"
4,"10,576,434","11,180,184","11,938,918","11,337,712","12,855,145","13,505,079","16,356,422","15,960,563","15,244,342","15,392,765","16,845,723","15,297,074","17,006,886","15,976,359","17,105,922","15,945,263","13,342,744","13,448,443","11,211,308","11,228,739","10,422,916","9,540,138"
5,"11,114,352","11,333,706","11,871,907","11,298,897","13,502,397","14,110,231","16,380,948","15,539,487","15,234,639","16,042,229","17,142,489","16,249,437","17,006,381","17,237,128","17,575,225","16,214,361","13,609,266","13,199,462","12,877,349","11,992,770","10,768,081","9,079,339"
6,"11,488,280","11,296,560","12,075,776","11,641,685","13,790,177","15,149,101","15,922,794","16,561,702","16,479,702","17,105,827","18,508,549","17,676,267","16,999,332","17,649,526","16,885,157","16,493,270","16,156,864","15,230,741","14,996,386","13,765,070","12,486,591","11,069,629"
7,"10,799,242","12,010,987","13,354,901","12,604,905","14,869,201","17,481,712","17,535,216","18,961,500","18,543,012","19,229,389","19,956,489","19,870,813","18,729,746","19,840,642","21,240,268","21,369,102","20,799,367","17,358,225","19,208,178","17,319,132","14,736,490","14,449,949"
8,"10,895,192","12,375,333","12,508,185","14,224,144","15,745,448","16,819,190","18,000,587","19,255,473","18,439,432","19,667,100","19,776,610","19,126,390","19,557,872","20,102,798","21,849,877","22,694,507","21,322,120","19,152,660","18,365,303","16,248,273","15,874,641","16,320,325"
9,"10,823,983","11,443,657","11,850,567","12,333,728","13,305,917","15,318,174","17,318,857","17,809,051","17,349,977","17,106,625","16,957,400","16,152,217","16,636,681","16,898,144","19,915,119","18,793,228","19,544,597","17,490,336","14,558,742","13,397,417","12,103,617","12,707,255"
10,"12,160,380","12,514,266","11,639,948","12,300,116","13,959,694","15,163,305","16,388,338","16,690,936","18,132,625","17,326,196","16,555,084","16,440,325","15,884,413","17,289,499","18,495,155","16,724,245","18,758,148","12,902,403","13,371,325","11,915,661","10,919,297","9,767,303"
11,"12,224,802","12,659,728","12,333,555","13,641,905","14,682,635","14,945,530","17,603,631","16,673,958","17,758,166","18,488,405","16,912,636","17,254,163","17,490,555","18,183,657","18,285,230","17,254,967","17,642,258","13,114,734","14,210,187","12,443,691","11,631,235","9,709,429"
12,"13,330,132","13,413,676","14,400,686","15,623,073","16,204,442","16,371,369","18,839,911","19,032,395","19,595,985","20,085,859","19,500,698","19,530,009","20,282,155","21,819,995","21,464,050","20,251,773","17,833,411","14,761,797","15,664,857","15,848,214","14,072,147","12,004,685"
