Date,year,month,national_avg_PM10,Power_GWh
2003-01-01,2003,1,0.12683577316864506,13222237.0
2003-02-01,2003,2,0.256218285759908,12097968.0
2003-03-01,2003,3,0.19237977067869727,11536474.0
2003-04-01,2003,4,0.05978962455949228,10576434.0
2003-05-01,2003,5,0.40076191560381896,11114352.0
2003-06-01,2003,6,0.22818354862432855,11488280.0
2003-07-01,2003,7,-0.3198439368793066,10799242.0
2003-08-01,2003,8,-0.38980971232319583,10895192.0
2003-09-01,2003,9,-0.24840344219956176,10823983.0
2003-10-01,2003,10,-0.20022954220372655,12160380.0
2003-11-01,2003,11,-0.1492485304321034,12224802.0
2003-12-01,2003,12,0.1316685958821458,13330132.0
2004-01-01,2004,1,0.06585918735516905,12648481.0
2004-02-01,2004,2,0.09550890950265555,11971217.0
2004-03-01,2004,3,0.43680978028727424,12516914.0
2004-04-01,2004,4,0.24250396209781452,11180184.0
2004-05-01,2004,5,0.2307849208603268,11333706.0
2004-06-01,2004,6,0.15873281746592027,11296560.0
2004-07-01,2004,7,-0.20581580638143288,12010987.0
2004-08-01,2004,8,-0.5017939078058974,12375333.0
2004-09-01,2004,9,-0.47156036469017204,11443657.0
2004-10-01,2004,10,-0.05917624369721936,12514266.0
2004-11-01,2004,11,0.0861192635007784,12659728.0
2004-12-01,2004,12,-0.04966891250728729,13413676.0
2005-01-01,2005,1,-0.018218990271355963,14089063.0
2005-02-01,2005,2,-0.264152308525317,12389177.0
2005-03-01,2005,3,0.16527436603237297,12754514.0
2005-04-01,2005,4,0.5980491255604138,11938918.0
2005-05-01,2005,5,0.04940983167286258,11871907.0
2005-06-01,2005,6,0.20785792214604068,12075776.0
2005-07-01,2005,7,0.1670407945690711,13354901.0
2005-08-01,2005,8,-0.3270115195550067,12508185.0
2005-09-01,2005,9,-0.48133097806269937,11850567.0
2005-10-01,2005,10,-0.13808883929623034,11639948.0
2005-11-01,2005,11,0.2581174241604821,12333555.0
2005-12-01,2005,12,-0.21893080822344155,14400686.0
2006-01-01,2006,1,0.028829654057618413,15062281.0
2006-02-01,2006,2,0.04600224645060052,12766622.0
2006-03-01,2006,3,0.35958548594524115,13075849.0
2006-04-01,2006,4,0.6360348226357605,11337712.0
2006-05-01,2006,5,0.03538054248035436,11298897.0
2006-06-01,2006,6,0.09092639918523213,11641685.0
2006-07-01,2006,7,-0.43129147734360235,12604905.0
2006-08-01,2006,8,-0.30097792041935295,14224144.0
2006-09-01,2006,9,-0.3831306004102847,12333728.0
2006-10-01,2006,10,0.051636544843532466,12300116.0
2006-11-01,2006,11,-0.16278305167799584,13641905.0
2006-12-01,2006,12,0.01845576299431135,15623073.0
2007-01-01,2007,1,0.1351404439556656,16476173.0
2007-02-01,2007,2,0.19760494506596926,13398416.0
2007-03-01,2007,3,0.11366569481281139,14625430.0
2007-04-01,2007,4,0.4306744992236073,12855145.0
2007-05-01,2007,5,0.39760995236062596,13502397.0
2007-06-01,2007,6,-0.23254182174613486,13790177.0
2007-07-01,2007,7,-0.12309526098680526,14869201.0
2007-08-01,2007,8,-0.45399912437008544,15745448.0
2007-09-01,2007,9,-0.42640297091057294,13305917.0
2007-10-01,2007,10,-0.2450710339529591,13959694.0
2007-11-01,2007,11,0.09924958715161036,14682635.0
2007-12-01,2007,12,0.10607785679209233,16204442.0
2008-01-01,2008,1,0.11560801828442269,16135808.0
2008-02-01,2008,2,0.15442689910900806,14488149.0
2008-03-01,2008,3,0.5132424531397298,14167708.0
2008-04-01,2008,4,0.2930456892127298,13505079.0
2008-05-01,2008,5,0.13608522835254902,14110231.0
